;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
110.260        0.0002          -0.0006         -1.53390        -0.00020        0.0000          183.7066        -50.16          0.000
111.011        0.0002          -0.0006         -1.53550        -0.00020        0.0000          183.6883        -50.16          0.000
111.751        0.0002          -0.0006         -1.53390        -0.00020        0.0000          183.6883        -50.16          0.000
112.503        0.0002          -0.0006         -1.53210        -0.00020        0.0000          183.6241        -50.16          0.000
113.251        0.0002          -0.0006         -1.52810        -0.00020        0.0000          183.6149        -50.16          0.000
114.002        0.0002          -0.0006         -1.53140        -0.00020        0.0000          183.5966        -50.12          0.000
114.753        0.0002          -0.0006         -1.53240        -0.00020        0.0000          183.5783        -50.12          0.000
115.513        0.0002          -0.0006         -1.53480        -0.00020        0.0000          183.5508        -50.16          0.000
116.262        0.0002          -0.0006         -1.53830        -0.00020        0.0000          183.5416        -50.16          0.000
117.002        0.0002          -0.0006         -1.53690        -0.00020        0.0000          183.5141        -50.16          0.000
117.763        0.0002          -0.0006         -1.53190        -0.00020        0.0000          183.4958        -50.12          0.000
118.504        0.0002          -0.0006         -1.52930        -0.00020        0.0000          183.4775        -50.16          0.000
119.262        0.0002          -0.0006         -1.53450        -0.00020        0.0000          183.4591        -50.16          0.000
120.013        0.0002          -0.0006         -1.53490        -0.00020        0.0000          183.4408        -50.16          0.000
120.754        0.0002          -0.0006         -1.53850        -0.00020        0.0000          183.4225        -50.12          0.000
121.504        0.0002          -0.0006         -1.53910        -0.00020        0.0000          183.4041        -50.16          0.000
122.254        0.0002          -0.0006         -1.53630        -0.00020        0.0000          183.3858        -50.16          0.000
123.015        0.0002          -0.0006         -1.53400        -0.00020        0.0000          183.3675        -50.16          0.000
123.755        0.0002          -0.0006         -1.53310        -0.00020        0.0000          183.3492        -50.16          0.000
124.515        0.0002          -0.0006         -1.53570        -0.00020        0.0000          183.3308        -50.12          0.000
125.255        0.0002          -0.0006         -1.53550        -0.00020        0.0000          183.3033        -50.16          0.000
126.016        0.0002          -0.0006         -1.53890        -0.00020        0.0000          183.2942        -50.16          0.000
126.766        0.0002          -0.0006         -1.54020        -0.00020        0.0000          183.2667        -50.16          0.000
127.516        0.0002          -0.0006         -1.53880        -0.00020        0.0000          183.2575        -50.16          0.000
128.257        0.0002          -0.0006         -1.53290        -0.00020        0.0000          183.2392        -50.16          0.000
129.007        0.0002          -0.0006         -1.53290        -0.00020        0.0000          183.2209        -50.16          0.000
129.759        0.0002          -0.0006         -1.53720        -0.00020        0.0000          183.1934        -50.16          0.000
