O1s_f(T)_Wave0	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave4	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave8	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave12	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave16	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave20	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3
1296.6758	1292.00034299243	1092.87983252678	1266.46898591141	4386.21455	4350.68007592966	4270.74206951342	4344.83246036836	8201.2819	8208.04273846034	7662.57624365236	8103.07057046493	11831.92365	11815.1425561848	11025.8293721009	11550.1059015943	15351.7483	15369.3357748778	14505.3592871942	14859.8323066874	18640.04735	18705.3739652081	17909.9009540848	17986.2703575971
1344.816	1351.33954432128	1100.71332930088	1317.88579250412	4365.84155	4368.64109518006	4272.80462767907	4360.75090805036	8373.928	8392.42049885655	7689.9399723828	8260.17148053448	12065.78635	12110.4639582145	11086.2341265563	11785.3306078186	15766.3122	15746.7820365567	14609.3630177768	15134.1261614477	19035.65945	19099.883680893	18045.1700193775	18246.3560365817
1421.5058	1417.16080862119	1110.5058050859	1373.82568305699	4381.57035	4387.1511920042	4275.45937835546	4376.62624079536	8625.7677	8601.94842737507	7722.49355085586	8437.23270898373	12432.37355	12447.7103042092	11155.722106962	12053.3970320575	16158.8769	16181.4922730666	14725.8585471219	15453.1921922764	19543.06445	19553.4564478252	18194.0267452418	18551.917106242
1499.0872	1487.32027070865	1122.57751372029	1431.82453854801	4409.06835	4405.37318183873	4278.83402097964	4391.49357460297	8831.7104	8830.9814883264	7760.68057866933	8628.16562052535	12830.18965	12818.7650611211	11234.4821672608	12345.9997873207	16638.3383	16665.2300992282	14854.3204025481	15809.3194866757	20055.93065	20058.4661699864	18355.1628243797	18896.6357778575
1520.0034	1558.98392671844	1137.25211737737	1488.72469293869	4420.42375	4422.43051617567	4283.06939918417	4404.33551733263	9107.8657	9071.06186618437	7804.83568469159	8824.17777076485	13234.32015	13210.9068823233	11322.3938719812	12650.5379624525	17182.4264	17183.7357749072	14993.6832011799	16189.3136873868	20645.82195	20601.2276601714	18526.5993229962	19268.8057980184
1632.6376	1628.86362256443	1154.84096238325	1540.92664581677	4426.24825	4437.51717122688	4288.31630366319	4414.19525450207	9283.1097	9311.37176555399	7855.14253246367	9014.26770076617	13591.57145	13607.3398877526	11418.9722148466	12950.7006836665	17802.1814	17716.9923398532	15142.2999567905	16574.8048203862	21288.39685	21162.0913141317	18705.6766964238	19651.4371071434
1702.0991	1693.55845091794	1175.62386984927	1584.74966874222	4409.92365	4450.01014389211	4294.73063825535	4420.29387917238	9518.2839	9539.61765998875	7911.59193736074	9186.15106870764	14005.81475	13988.4193610643	11523.3243566335	13227.7360738413	18251.5814	18240.3799100975	15297.9290595413	16943.4146115437	21745.15555	21716.4121386419	18889.0847382405	20023.1949184293
1766.7769	1749.9550222093	1199.82698980576	1616.85422211506	4482.19265	4459.56459082727	4302.46683091697	4422.13212004318	9702.2152	9743.26103787657	7973.94326037857	9327.53000198141	14328.65755	14333.4793570172	11634.1237958429	13462.3046892347	18702.6895	18726.6894602665	15457.7554935698	17270.7490513481	22218.76035	22236.4051805564	19072.9361120238	20360.1816151528
1789.8519	1795.62138486689	1227.59866931955	1634.66000729682	4469.24155	4466.17320267199	4311.66949475885	4419.55805464327	9899.5105	9910.92579865821	8041.69261895474	9427.53228259067	14686.89085	14623.0300066744	11749.6068481361	13636.6803452488	19253.7745	19148.7866037794	15618.4498043179	17533.0032077768	22696.83405	22693.7212954222	19252.8839426173	20638.3949280173
1831.4978	1829.12361722363	1258.98469109312	1636.68731991796	4491.89645	4470.17723845433	4322.46350265688	4412.78806912483	10027.2638	10033.755171855	8114.05155601267	9478.08959713331	14903.39745	14840.9870283617	11867.5952050377	13736.9570686845	19489.3984	19482.553884356	15776.2656323118	17709.8059840235	23175.67035	23062.4064832098	19424.2803047928	20836.5287822218
1868.0993	1850.20420026068	1293.90460438439	1622.75909170171	4490.88345	4472.22555739879	4334.94282365357	4402.37705366985	10130.8276	10106.4798259241	8189.93956976601	9475.01311585285	14884.09265	14976.5559692629	11985.5466971209	13754.8825761525	19664.095	19709.6418876947	15927.173494164	17786.837449174	23307.60435	23321.7902698659	19582.3686739411	20938.669228322
1865.8222	1859.78590029386	1332.13114440147	1594.02535375578	4484.16815	4473.18788764326	4349.15866633519	4389.14352782995	10154.9383	10128.0011140166	8267.99329352064	9418.56755859446	15004.05535	15025.4360721978	12100.6342993911	13688.9831354673	19795.2878	19819.5578822388	16067.0251959591	17757.7530655868	23394.39335	23458.820771523	19722.4998840348	20936.4135484778
1827.8757	1859.79860293304	1373.27486945716	1552.80543337723	4459.42055	4474.03708068672	4365.10766431365	4374.0637094922	10097.2371	10101.3821316872	8346.59413106459	9313.4346171249	14921.43985	14990.1287536674	12209.8510517185	13544.7671232594	19727.9914	19810.7246290219	16191.7401431555	17625.0561888375	23363.80845	23469.4418085247	19840.3582723006	20830.021225806
1812.7767	1852.86121199948	1416.77609401088	1502.27791992792	4473.91365	4475.72023843456	4382.72099878405	4358.15351936689	9998.7423	10033.2540983434	8423.91484908399	9168.07274416553	14909.42645	14879.306944517	12310.1361444957	13333.9682799819	19600.0489	19690.3315949025	16297.5022145646	17399.7524069729	23241.62655	23358.7782097126	19932.1828384406	20628.3780894463
1832.527	1841.87790338454	1461.90593147606	1446.07587588577	4470.85175	4479.03935136348	4401.85545825908	4342.35815941803	9950.6804	9932.7584747038	8497.9840992067	8993.59474880698	14783.99375	14706.3825224707	12398.5151915519	13072.9728695293	19524.5755	19473.0316889766	16380.954117724	17099.8519215516	23162.62345	23140.1204411741	19994.9676806071	20347.7805073335
1847.6835	1829.62140748306	1507.77777537186	1387.85863812645	4498.72485	4484.55863268313	4422.28746289417	4327.46542269983	9765.6467	9810.22869363947	8566.76622442211	8802.36972093102	14453.20935	14487.5554856152	12472.2459347652	12780.7231481106	19189.1072	19178.7524713316	16439.3754889154	16748.0026563792	22841.68575	22832.9244368621	20026.6268320111	20009.7703802099
1833.1661	1818.37319405531	1553.36985859549	1330.92944351305	4473.31495	4492.54929990739	4443.71101214385	4314.05252727167	9683.1878	9675.85052835704	8628.25216058651	8606.59249788797	14146.08105	14239.7063708257	12528.9595246382	12476.4685020981	18867.3775	18830.039872332	16470.8315834606	16368.6852864983	22529.02125	22460.2128696074	20026.110895646	19638.4197779126
1826.9587	1809.67340947697	1597.55868310967	1277.95193645848	4497.41325	4502.97495746551	4465.74034002256	4302.46884354834	9579.6384	9538.52180354382	8680.55594545358	8417.04686661146	13999.83595	13978.4884986086	12566.7872644557	12177.7309487135	18460.0486	18449.4027874742	16474.2812264311	15985.4498823339	22032.73995	22045.8421240252	19993.4663818921	19257.5385746767
1842.1285	1804.20755307161	1639.16217633627	1230.7936888645	4510.12415	4515.51380164828	4487.91778334996	4292.85023100096	9451.7926	9405.06952103309	8722.01045487405	8242.22695308404	13719.88485	13716.8973774264	12584.4633720254	11898.7717786116	18073.9776	18057.0743822761	16449.6356236676	15618.6184035633	21626.79855	21612.073392231	19929.8330694547	18888.2481839122
1825.2922	1801.82911794946	1676.99049570679	1190.49803640979	4503.59015	4529.60895094846	4509.72699927967	4285.15615096868	9311.6349	9279.8950817857	8751.25562428178	8087.89422283271	13522.55095	13464.4677918403	12581.3958798785	11649.7177438224	17736.2431	17669.4734491876	16397.7633999504	15283.741017856	21241.15415	21177.7729524794	19837.3795984879	18547.2462437197
1789.7846	1801.69416071372	1709.90156900323	1157.36310791557	4497.92575	4544.53589842578	4530.61123634609	4279.21884797682	9181.7735	9165.02947122341	8767.31265643226	7957.05845852372	13300.09025	13227.1102987173	12557.700135233	11436.364053995	17300.2701	17298.4774455553	16320.4414656248	14990.9182722131	20829.40195	20757.4027631358	19719.1823719675	18245.9183094889
1793.5749	1802.46923161536	1736.85782348315	1131.09302637526	4538.29245	4559.47623492309	4549.995906626	4274.79450079148	9038.908	9060.51021882873	8769.63857118529	7850.30016977979	13028.37995	13007.4814404562	12514.1922556476	11260.5511339693	16984.2511	16951.4529601612	16220.2555878644	14744.9309882434	20390.77375	20360.7928219311	19579.0571961827	17990.2785726613
1773.97	1802.56963329205	1756.98020495785	1110.98214861521	4593.72685	4573.58871402867	4567.3142714291	4271.6086016912	8965.0265	8964.95274168758	8758.15685753286	7766.31128469485	12854.26415	12805.7083964964	12452.3430582169	11120.9353460902	16651.162	16631.8656738949	16100.4584259421	14545.9921875634	20009.38705	19993.5505266887	19421.3565053283	17781.5819968657
1795.691	1800.38928471587	1769.59557611862	1096.09753091624	4631.25845	4586.07151331009	4582.03468772512	4269.39097127386	8860.718	8876.1826189626	8733.2618145349	7702.52308337161	12643.25105	12620.2664820686	12374.1960895977	11013.9484589317	16319.6387	16340.2297123897	15964.7958974934	14390.8700781708	19662.40315	19657.8834398685	19250.747174585	17617.3692693811
1770.612	1794.49354908919	1774.27393295277	1085.43454049337	4654.70745	4596.2123593756	4593.68761227467	4267.89887938706	8741.4006	8791.81632011526	8695.7962376668	7655.70923979615	12379.01745	12448.8303668923	12282.2561277993	10934.7603642037	16027.0318	16075.1560131991	15817.3147852612	14274.1288148763	19345.61405	19353.5954764931	19071.9846659144	17492.6888432687
1823.6188	1783.75872506424	1770.85257000854	1078.03218145062	4563.99875	4603.42546212653	4601.89046049972	4266.9291205102	8722.2816	8709.71492761609	8647.0042117362	7622.48675163136	12216.91885	12288.9714815101	12179.3566361118	10878.1090291591	15814.272	15834.3063384982	15662.1653087795	14189.279940321	19076.74155	19079.0514508288	18889.6985694254	17401.2759426856
1720.216	1767.45348204582	1759.44530046539	1073.04531001331	4613.68205	4607.27570842565	4606.3684879169	4266.32132598939	8562.8185	8628.27657820906	8588.46269813767	7599.67679422664	12108.91515	12138.6362670359	12068.5159332695	10838.9225761772	15596.7088	15615.1315835977	15503.4119523277	14129.7098655363	18759.40975	18831.970426778	18708.2026541785	17336.5358624741
1740.3381	1745.26641244553	1740.43600231149	1069.77864060488	4617.50355	4607.49133600553	4606.97010536225	4265.95532272118	8525.4237	8546.56915075028	8521.99716183613	7584.52178147319	12000.19655	11996.396740789	11952.7922082514	10812.7148335983	15369.7674	15415.3478070807	15344.8642761683	14089.3250888427	18533.36845	18609.9819224406	18531.3396066835	17292.2554342241
1733.2559	1717.28935263297	1714.4570010417	1067.69168410009	4624.19855	4603.96654937635	4603.67543739364	4265.74519065785	8494.8344	8464.3296202116	8449.58752611518	7574.77876505924	11770.55145	11861.5061724751	11835.1469644966	10795.7775676892	15190.9919	15233.1643506153	15189.9369747706	14062.9202574389	18312.27215	18410.9426677954	18362.3670790175	17263.0337358372
1691.2271	1683.96843216711	1682.35398669696	1066.38488001694	4615.95145	4596.7555031601	4596.59744996282	4265.63211846967	8372.4816	8381.86906098616	8373.27118634941	7568.72142400334	11692.25585	11733.814948409	11718.3251366522	10785.2162301176	15028.9532	15067.3171003441	15041.5453952274	14046.3159103748	18187.72535	18233.0549695095	18203.8878920839	17244.4702530773
