	O1s_f(T)_Wave0		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave4		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave8		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave12		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave16		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave20		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3
532.556	1499.0872	532.556	1487.32027070865	532.556	1122.57751372029	532.556	1431.82453854801	532.556	4409.06835	532.556	4405.37318183873	532.556	4278.83402097964	532.556	4391.49357460297	532.556	8831.7104	532.556	8830.9814883264	532.556	7760.68057866933	532.556	8628.16562052535	532.556	12830.18965	532.556	12818.7650611211	532.556	11234.4821672608	532.556	12345.9997873207	532.556	16638.3383	532.556	16665.2300992282	532.556	14854.3204025481	532.556	15809.3194866757	532.556	20055.93065	532.556	20058.4661699864	532.556	18355.1628243797	532.556	18896.6357778575
532.656	1520.0034	532.656	1558.98392671844	532.656	1137.25211737737	532.656	1488.72469293869	532.656	4420.42375	532.656	4422.43051617567	532.656	4283.06939918417	532.656	4404.33551733263	532.656	9107.8657	532.656	9071.06186618437	532.656	7804.83568469159	532.656	8824.17777076485	532.656	13234.32015	532.656	13210.9068823233	532.656	11322.3938719812	532.656	12650.5379624525	532.656	17182.4264	532.656	17183.7357749072	532.656	14993.6832011799	532.656	16189.3136873868	532.656	20645.82195	532.656	20601.2276601714	532.656	18526.5993229962	532.656	19268.8057980184
532.756	1632.6376	532.756	1628.86362256443	532.756	1154.84096238325	532.756	1540.92664581677	532.756	4426.24825	532.756	4437.51717122688	532.756	4288.31630366319	532.756	4414.19525450207	532.756	9283.1097	532.756	9311.37176555399	532.756	7855.14253246367	532.756	9014.26770076617	532.756	13591.57145	532.756	13607.3398877526	532.756	11418.9722148466	532.756	12950.7006836665	532.756	17802.1814	532.756	17716.9923398532	532.756	15142.2999567905	532.756	16574.8048203862	532.756	21288.39685	532.756	21162.0913141317	532.756	18705.6766964238	532.756	19651.4371071434
532.856	1702.0991	532.856	1693.55845091794	532.856	1175.62386984927	532.856	1584.74966874222	532.856	4409.92365	532.856	4450.01014389211	532.856	4294.73063825535	532.856	4420.29387917238	532.856	9518.2839	532.856	9539.61765998875	532.856	7911.59193736074	532.856	9186.15106870764	532.856	14005.81475	532.856	13988.4193610643	532.856	11523.3243566335	532.856	13227.7360738413	532.856	18251.5814	532.856	18240.3799100975	532.856	15297.9290595413	532.856	16943.4146115437	532.856	21745.15555	532.856	21716.4121386419	532.856	18889.0847382405	532.856	20023.1949184293
532.956	1766.7769	532.956	1749.9550222093	532.956	1199.82698980576	532.956	1616.85422211506	532.956	4482.19265	532.956	4459.56459082727	532.956	4302.46683091697	532.956	4422.13212004318	532.956	9702.2152	532.956	9743.26103787657	532.956	7973.94326037857	532.956	9327.53000198141	532.956	14328.65755	532.956	14333.4793570172	532.956	11634.1237958429	532.956	13462.3046892347	532.956	18702.6895	532.956	18726.6894602665	532.956	15457.7554935698	532.956	17270.7490513481	532.956	22218.76035	532.956	22236.4051805564	532.956	19072.9361120238	532.956	20360.1816151528
533.056	1789.8519	533.056	1795.62138486689	533.056	1227.59866931955	533.056	1634.66000729682	533.056	4469.24155	533.056	4466.17320267199	533.056	4311.66949475885	533.056	4419.55805464327	533.056	9899.5105	533.056	9910.92579865821	533.056	8041.69261895474	533.056	9427.53228259067	533.056	14686.89085	533.056	14623.0300066744	533.056	11749.6068481361	533.056	13636.6803452488	533.056	19253.7745	533.056	19148.7866037794	533.056	15618.4498043179	533.056	17533.0032077768	533.056	22696.83405	533.056	22693.7212954222	533.056	19252.8839426173	533.056	20638.3949280173
533.156	1831.4978	533.156	1829.12361722363	533.156	1258.98469109312	533.156	1636.68731991796	533.156	4491.89645	533.156	4470.17723845433	533.156	4322.46350265688	533.156	4412.78806912483	533.156	10027.2638	533.156	10033.755171855	533.156	8114.05155601267	533.156	9478.08959713331	533.156	14903.39745	533.156	14840.9870283617	533.156	11867.5952050377	533.156	13736.9570686845	533.156	19489.3984	533.156	19482.553884356	533.156	15776.2656323118	533.156	17709.8059840235	533.156	23175.67035	533.156	23062.4064832098	533.156	19424.2803047928	533.156	20836.5287822218
533.256	1868.0993	533.256	1850.20420026068	533.256	1293.90460438439	533.256	1622.75909170171	533.256	4490.88345	533.256	4472.22555739879	533.256	4334.94282365357	533.256	4402.37705366985	533.256	10130.8276	533.256	10106.4798259241	533.256	8189.93956976601	533.256	9475.01311585285	533.256	14884.09265	533.256	14976.5559692629	533.256	11985.5466971209	533.256	13754.8825761525	533.256	19664.095	533.256	19709.6418876947	533.256	15927.173494164	533.256	17786.837449174	533.256	23307.60435	533.256	23321.7902698659	533.256	19582.3686739411	533.256	20938.669228322
533.356	1865.8222	533.356	1859.78590029386	533.356	1332.13114440147	533.356	1594.02535375578	533.356	4484.16815	533.356	4473.18788764326	533.356	4349.15866633519	533.356	4389.14352782995	533.356	10154.9383	533.356	10128.0011140166	533.356	8267.99329352064	533.356	9418.56755859446	533.356	15004.05535	533.356	15025.4360721978	533.356	12100.6342993911	533.356	13688.9831354673	533.356	19795.2878	533.356	19819.5578822388	533.356	16067.0251959591	533.356	17757.7530655868	533.356	23394.39335	533.356	23458.820771523	533.356	19722.4998840348	533.356	20936.4135484778
533.456	1827.8757	533.456	1859.79860293304	533.456	1373.27486945716	533.456	1552.80543337723	533.456	4459.42055	533.456	4474.03708068672	533.456	4365.10766431365	533.456	4374.0637094922	533.456	10097.2371	533.456	10101.3821316872	533.456	8346.59413106459	533.456	9313.4346171249	533.456	14921.43985	533.456	14990.1287536674	533.456	12209.8510517185	533.456	13544.7671232594	533.456	19727.9914	533.456	19810.7246290219	533.456	16191.7401431555	533.456	17625.0561888375	533.456	23363.80845	533.456	23469.4418085247	533.456	19840.3582723006	533.456	20830.021225806
