temp,dep,ab1,peak1,sig1,ab1_err,peak1_err,sig1_err,ab2,peak2,sig2,ab2_err,peak2_err,sig2_err,ab3,peak3,sig3,ab3_err,peak3_err,sig3_err,ab4,peak4,sig4,ab4_err,peak4_err,sig4_err
90.0,2.0,0.37439691,8.62271733,0.37916259,0.00208927,0.00146012,0.00254973,0.07179582,7.99306485,0.16401302,0.00186363,0.00388171,0.00424569,0.45335278,10.85444263,1.2,0.00305928,0.02588991,0.02019466,0.00704383,6.45,0.25,0.00070423,0.02948125,0.02967635
90.0,3.0,0.5663005,8.62667814,0.3836247,0.0023761,0.00108825,0.00192032,0.10610053,7.99012793,0.16467262,0.0020895,0.0029514,0.00325211,0.67875937,10.85407249,1.2,0.00342893,0.01932725,0.01514867,0.00830795,6.52254222,0.18051893,0.00094995,0.02402782,0.0242264
90.0,4.0,0.75538965,8.62757277,0.3826054,0.004068,0.00139087,0.00248635,0.13698567,7.99830948,0.15959623,0.00363136,0.00381841,0.0043034,0.91201535,10.85655876,1.2,0.00597339,0.02483976,0.01936448,0.0110962,6.5095058,0.17290041,0.00169432,0.03067923,0.03089594
90.0,5.0,0.93480785,8.62782799,0.38711868,0.00506332,0.00138407,0.00250756,0.17019949,7.99475117,0.16063592,0.0044451,0.00373051,0.00424322,1.13491446,10.87095962,1.2,0.00763407,0.02533668,0.01963752,0.01191141,6.4835484,0.16075891,0.00212433,0.03325466,0.03344863
100.0,1.0,0.21063981,8.60909034,0.37329007,0.00123842,0.00233283,0.0031635,0.04688256,7.9848493,0.17561726,0.00144786,0.00430255,0.00442238,0.22819208,10.9,1.2,0.00206804,0.03393355,0.02540722,0.00673595,6.50466282,0.22912543,0.00041538,0.01662304,0.0167601
100.0,2.0,0.42051667,8.62322243,0.38035728,0.00282211,0.00236592,0.00349297,0.07872972,7.99357376,0.16267173,0.00299455,0.00495957,0.00556605,0.51058285,10.85433598,1.2,0.00393534,0.02980262,0.02364481,0.00923725,6.45039214,0.25,0.00090439,0.02890851,0.0291171
100.0,3.0,0.6402221,8.62782594,0.38296856,0.00283573,0.00112414,0.00200933,0.11602417,7.99138299,0.16284564,0.00245698,0.00317198,0.00350105,0.77040757,10.86560456,1.2,0.00425727,0.0209539,0.01623285,0.01172108,6.5283902,0.18479469,0.00112169,0.02060202,0.02077377
110.0,1.0,0.20698743,8.60392607,0.38131374,0.00095868,0.00171198,0.0024486,0.04319351,7.9697684,0.17374496,0.0010447,0.00330928,0.00350868,0.21343042,10.89491107,1.2,0.00153408,0.02733028,0.02083582,0.00392581,6.46324128,0.25,0.00029392,0.02213699,0.02230519
110.0,2.0,0.42189279,8.62264472,0.37975088,0.00244962,0.00211368,0.0030611,0.07766805,7.99023081,0.163274,0.00266881,0.0045498,0.00508496,0.48927724,10.84153809,1.2,0.0033457,0.02632466,0.02093007,0.00390705,6.45,0.17712468,0.00097264,0.05123479,0.05152007
110.0,3.0,0.64132437,8.62690019,0.38350429,0.00271958,0.00143212,0.00215402,0.11639688,7.98542001,0.16441012,0.00273312,0.00318584,0.00352361,0.75042946,10.86379348,1.2,0.00386181,0.01983499,0.01566831,0.00653246,6.50907596,0.22206929,0.00091457,0.03655748,0.03690233
